s3_zip_name	s3_zip_size
flight_10_20/flight_10_20_price_2017-05-20.zip	12627248
flight_10_20/flight_10_20_price_2017-05-21.zip	12626678
flight_10_20/flight_10_20_price_2017-05-22.zip	12640574
flight_10_20/flight_10_20_price_2017-05-23.zip	12593181
flight_10_20/flight_10_20_price_2017-05-24.zip	12677728
flight_10_20/flight_10_20_price_2017-05-25.zip	12588096
flight_10_20/flight_10_20_price_2017-05-26.zip	12521031
flight_10_20/flight_10_20_price_2017-05-27.zip	12545378
flight_10_20/flight_10_20_price_2017-05-28.zip	12544566
flight_10_20/flight_10_20_price_2017-05-29.zip	12504349
flight_10_20/flight_10_20_price_2017-05-30.zip	12446163
flight_10_20/flight_10_20_price_2017-05-31.zip	12488937
flight_10_20/flight_10_20_price_2017-06-01.zip	12545857
flight_10_20/flight_10_20_price_2017-06-02.zip	12375790
flight_10_20/flight_10_20_price_2017-06-03.zip	12518249
flight_10_20/flight_10_20_price_2017-06-04.zip	12533033
flight_10_20/flight_10_20_price_2017-06-05.zip	12473032
flight_10_20/flight_10_20_price_2017-06-06.zip	12339317
flight_10_20/flight_10_20_price_2017-06-07.zip	12381023
flight_10_20/flight_10_20_price_2017-06-08.zip	12582184
flight_10_20/flight_10_20_price_2017-06-09.zip	12062317
flight_10_20/flight_10_20_price_2017-06-10.zip	12013179
flight_10_20/flight_10_20_price_2017-06-11.zip	11906317
flight_10_20/flight_10_20_price_2017-06-12.zip	12084267
flight_10_20/flight_10_20_price_2017-06-13.zip	12269254
flight_10_20/flight_10_20_price_2017-06-14.zip	12265773
flight_10_20/flight_10_20_price_2017-06-15.zip	12314662
flight_10_20/flight_10_20_price_2017-06-16.zip	12224665
flight_10_20/flight_10_20_price_2017-06-17.zip	12195522
flight_10_20/flight_10_20_price_2017-06-18.zip	12240070
flight_10_20/flight_10_20_price_2017-06-19.zip	12109966
flight_10_20/flight_10_20_price_2017-06-20.zip	12081974
flight_10_20/flight_10_20_price_2017-06-21.zip	11656099
flight_10_20/flight_10_20_price_2017-06-22.zip	12463507
flight_10_20/flight_10_20_price_2017-06-24.zip	12617708
flight_10_20/flight_10_20_price_2017-06-26.zip	12440543
flight_10_20/flight_10_20_price_2017-06-28.zip	12069878
flight_10_21/flight_10_21_price_2017-05-15.zip	14336958
flight_10_21/flight_10_21_price_2017-05-16.zip	14305894
flight_10_21/flight_10_21_price_2017-05-17.zip	14363229
flight_10_21/flight_10_21_price_2017-05-18.zip	14335095
flight_10_21/flight_10_21_price_2017-05-19.zip	14300903
flight_10_21/flight_10_21_price_2017-05-20.zip	14341326
flight_10_21/flight_10_21_price_2017-05-21.zip	14360263
flight_10_21/flight_10_21_price_2017-05-22.zip	14316787
flight_10_21/flight_10_21_price_2017-05-23.zip	14275968
flight_10_21/flight_10_21_price_2017-05-24.zip	14419802
flight_10_21/flight_10_21_price_2017-05-25.zip	14361212
flight_10_21/flight_10_21_price_2017-05-26.zip	14177997
flight_10_21/flight_10_21_price_2017-05-27.zip	14243638
flight_10_21/flight_10_21_price_2017-05-28.zip	14095732
flight_10_21/flight_10_21_price_2017-05-29.zip	14107271
flight_10_21/flight_10_21_price_2017-05-30.zip	14101301
flight_10_21/flight_10_21_price_2017-05-31.zip	14089964
