12-05 11:31:11.190 172.17.0.2:54321      253    #read-467 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:10.854 172.17.0.2:54321      253    #read-474 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:12.207 172.17.0.2:54321      253    #read-467 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.6 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:11.870 172.17.0.2:54321      253    #read-475 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.6 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:11.526 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.6 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:11.526 172.17.0.2:54321      253    #read-470 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.6 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:13.216 172.17.0.2:54321      253    #read-475 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.6 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:12.878 172.17.0.2:54321      253    #read-467 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.6 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:12.542 172.17.0.2:54321      253    #read-474 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.6 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:13.216 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.5 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:13.393 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:14.076 172.17.0.2:54321      253    #read-470 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:14.076 172.17.0.2:54321      253    #read-487 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:14.076 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.38 GB + FREE:930.1 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:14.418 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:14.419 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.38 GB + FREE:930.1 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:14.420 172.17.0.2:54321      253    #read-469 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.38 GB + FREE:930.1 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:14.588 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:14.758 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.38 GB + FREE:930.3 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:15.515 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:16.528 172.17.0.2:54321      253    #read-476 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:16.528 172.17.0.2:54321      253    #read-487 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
